ENSG00000160808	MYL3
ENSG00000204531	POU5F1
ENSG00000104112	SCG3
ENSG00000114854	TNNC1
ENSG00000265992	ESRG
ENSG00000137834	SMAD6
ENSG00000137872	SEMA6D
ENSG00000127241	MASP1
ENSG00000014641	MDH1
ENSG00000116675	DNAJC6
ENSG00000128590	DNAJB9
ENSG00000133083	DCLK1
ENSG00000095203	EPB41L4B
ENSG00000170558	CDH2
ENSG00000121570	DPPA4
ENSG00000197594	ENPP1
ENSG00000080823	MOK
ENSG00000173114	LRRN3
ENSG00000234456	MAGI2-AS3
ENSG00000080493	SLC4A4
ENSG00000232445	RP11-132A1.4
ENSG00000057294	PKP2
ENSG00000164048	ZNF589
ENSG00000166206	GABRB3
ENSG00000125945	ZNF436
ENSG00000133980	VRTN
ENSG00000130477	UNC13A
ENSG00000077092	RARB
ENSG00000163638	ADAMTS9
ENSG00000065675	PRKCQ
ENSG00000147166	ITGB1BP2
ENSG00000101210	EEF1A2
ENSG00000106211	HSPB1
ENSG00000105202	FBL
ENSG00000174429	ABRA
ENSG00000166073	GPR176
ENSG00000110944	IL23A
ENSG00000088305	DNMT3B
ENSG00000254934	LINC00678
ENSG00000168938	PPIC
ENSG00000172399	MYOZ2
ENSG00000123999	INHA
ENSG00000101605	MYOM1
ENSG00000167600	CYP2S1
ENSG00000145423	SFRP2
ENSG00000148834	GSTO1
ENSG00000138434	SSFA2
ENSG00000143494	VASH2
ENSG00000101098	RIMS4
ENSG00000240563	L1TD1
ENSG00000008311	AASS
ENSG00000147601	TERF1
ENSG00000095739	BAMBI
ENSG00000142698	C1orf94
ENSG00000225783	MIAT
ENSG00000099284	H2AFY2
ENSG00000133028	SCO1
ENSG00000151388	ADAMTS12
ENSG00000140391	TSPAN3
ENSG00000153107	ANAPC1
ENSG00000123473	STIL
ENSG00000151729	SLC25A4
ENSG00000182866	LCK
ENSG00000113594	LIFR
ENSG00000068831	RASGRP2
ENSG00000003989	SLC7A2
ENSG00000254277	RP11-1144P22.1
ENSG00000179046	TRIML2
ENSG00000186340	THBS2
ENSG00000188848	BEND4
ENSG00000111752	PHC1
ENSG00000152208	GRID2
ENSG00000107551	RASSF4
ENSG00000169851	PCDH7
ENSG00000164458	T
ENSG00000049323	LTBP1
ENSG00000172638	EFEMP2
ENSG00000091436	AC013461.1
ENSG00000154096	THY1
ENSG00000165757	KIAA1462
ENSG00000100604	CHGA
ENSG00000166105	GLB1L3
ENSG00000157064	NMNAT2
ENSG00000111704	NANOG
ENSG00000135960	EDAR
ENSG00000113356	POLR3G
ENSG00000155561	NUP205
ENSG00000109320	NFKB1
ENSG00000107731	UNC5B
ENSG00000138193	PLCE1
ENSG00000236673	RP11-69I8.2
ENSG00000067840	PDZD4
ENSG00000057252	SOAT1
ENSG00000145681	HAPLN1
ENSG00000137285	TUBB2B
ENSG00000101938	CHRDL1
ENSG00000123600	METTL8
ENSG00000173482	PTPRM
ENSG00000184304	PRKD1
ENSG00000134452	FBXO18
ENSG00000182985	CADM1
ENSG00000119335	SET
ENSG00000231918	AC007682.1
ENSG00000182670	TTC3
ENSG00000171126	KCNG3
ENSG00000102910	LONP2
ENSG00000175899	A2M
ENSG00000150764	DIXDC1
ENSG00000120693	SMAD9
ENSG00000198796	ALPK2
ENSG00000176641	RNF152
ENSG00000075420	FNDC3B
ENSG00000197321	SVIL
ENSG00000072041	SLC6A15
ENSG00000146918	NCAPG2
ENSG00000205268	PDE7A
ENSG00000141449	GREB1L
ENSG00000095002	MSH2
ENSG00000128050	PAICS
ENSG00000174469	CNTNAP2
ENSG00000133636	NTS
ENSG00000143850	PLEKHA6
ENSG00000120049	KCNIP2
ENSG00000151136	BTBD11
ENSG00000132341	RAN
ENSG00000137078	SIT1
ENSG00000096063	SRPK1
ENSG00000134352	IL6ST
ENSG00000083444	PLOD1
ENSG00000172239	PAIP1
ENSG00000175426	PCSK1
ENSG00000102096	PIM2
ENSG00000111962	UST
ENSG00000110723	EXPH5
ENSG00000091831	ESR1
ENSG00000143198	MGST3
ENSG00000134590	FAM127A
ENSG00000139219	COL2A1
ENSG00000206384	COL6A6
ENSG00000115310	RTN4
ENSG00000162551	ALPL
ENSG00000170873	MTSS1
ENSG00000050344	NFE2L3
ENSG00000241859	ANOS2P
ENSG00000150687	PRSS23
ENSG00000223756	TSSC2
ENSG00000185591	SP1
ENSG00000136842	TMOD1
ENSG00000128591	FLNC
ENSG00000117640	MTFR1L
ENSG00000121769	FABP3
ENSG00000118640	VAMP8
ENSG00000131203	IDO1
ENSG00000105877	DNAH11
ENSG00000144278	GALNT13
ENSG00000135749	PCNX2
ENSG00000138346	DNA2
ENSG00000197043	ANXA6
ENSG00000165943	MOAP1
ENSG00000282048	RP4-590F24.2
ENSG00000113368	LMNB1
ENSG00000130826	DKC1
ENSG00000162889	MAPKAPK2
ENSG00000078114	NEBL
ENSG00000173473	SMARCC1
ENSG00000029993	HMGB3
ENSG00000127824	TUBA4A
ENSG00000171130	ATP6V0E2
ENSG00000164076	CAMKV
ENSG00000138119	MYOF
ENSG00000120659	TNFSF11
ENSG00000111252	SH2B3
ENSG00000147596	PRDM14
ENSG00000137309	HMGA1
ENSG00000125845	BMP2
ENSG00000165905	LARGE2
ENSG00000137962	ARHGAP29
ENSG00000145730	PAM
ENSG00000183023	SLC8A1
ENSG00000104381	GDAP1
ENSG00000165996	HACD1
ENSG00000179761	PIPOX
ENSG00000134571	MYBPC3
ENSG00000139734	DIAPH3
ENSG00000065154	OAT
ENSG00000174804	FZD4
ENSG00000035403	VCL
ENSG00000112159	MDN1
ENSG00000108239	TBC1D12
ENSG00000119285	HEATR1
ENSG00000184226	PCDH9
ENSG00000086475	SEPHS1
ENSG00000141384	TAF4B
ENSG00000188483	IER5L
ENSG00000160801	PTH1R
ENSG00000085741	WNT11
ENSG00000072954	TMEM38A
ENSG00000153395	LPCAT1
ENSG00000144554	FANCD2
ENSG00000126882	FAM78A
ENSG00000205213	LGR4
ENSG00000134716	CYP2J2
ENSG00000124207	CSE1L
ENSG00000176834	VSIG10
ENSG00000119242	CCDC92
ENSG00000154473	BUB3
ENSG00000171451	DSEL
ENSG00000126878	AIF1L
ENSG00000226887	ERVMER34-1
ENSG00000168769	TET2
ENSG00000164292	RHOBTB3
ENSG00000101335	MYL9
ENSG00000164532	TBX20
ENSG00000173706	HEG1
ENSG00000163032	VSNL1
ENSG00000138685	FGF2
ENSG00000249152	RP11-562F9.2
ENSG00000278259	MYO19
ENSG00000112186	CAP2
ENSG00000187889	C1orf168
ENSG00000072163	LIMS2
ENSG00000171612	SLC25A33
ENSG00000166033	HTRA1
ENSG00000091972	CD200
ENSG00000179051	RCC2
ENSG00000162645	GBP2
ENSG00000077522	ACTN2
ENSG00000121653	MAPK8IP1
ENSG00000165732	DDX21
ENSG00000130338	TULP4
ENSG00000187634	SAMD11
ENSG00000130182	ZSCAN10
ENSG00000125107	CNOT1
ENSG00000120254	MTHFD1L
ENSG00000166788	SAAL1
ENSG00000075702	WDR62
ENSG00000153363	LINC00467
ENSG00000176092	AIM1L
ENSG00000122642	FKBP9
ENSG00000100994	PYGB
ENSG00000120526	NUDCD1
ENSG00000204054	LINC00963
ENSG00000106268	NUDT1
ENSG00000092969	TGFB2
ENSG00000116729	WLS
ENSG00000131773	KHDRBS3
ENSG00000197705	KLHL14
ENSG00000120149	MSX2
ENSG00000138095	LRPPRC
ENSG00000071626	DAZAP1
ENSG00000092529	CAPN3
ENSG00000171492	LRRC8D
ENSG00000186951	PPARA
ENSG00000169836	TACR3
ENSG00000085415	SEH1L
ENSG00000177156	TALDO1
ENSG00000158186	MRAS
ENSG00000115816	CEBPZ
ENSG00000158604	TMED4
ENSG00000148677	ANKRD1
ENSG00000110931	CAMKK2
ENSG00000013573	DDX11
ENSG00000100714	MTHFD1
ENSG00000152503	TRIM36
ENSG00000121361	KCNJ8
ENSG00000204852	TCTN1
ENSG00000188730	VWC2
ENSG00000108515	ENO3
ENSG00000185664	PMEL
ENSG00000180592	SKIDA1
ENSG00000048405	ZNF800
ENSG00000151952	TMEM132D
ENSG00000166402	TUB
ENSG00000123066	MED13L
ENSG00000175155	YPEL2
ENSG00000152078	TMEM56
ENSG00000106631	MYL7
ENSG00000146197	SCUBE3
ENSG00000104879	CKM
ENSG00000183072	NKX2-5
ENSG00000121068	TBX2
ENSG00000079246	XRCC5
ENSG00000118407	FILIP1
ENSG00000163935	SFMBT1
ENSG00000149557	FEZ1
ENSG00000162729	IGSF8
ENSG00000084628	NKAIN1
ENSG00000089327	FXYD5
ENSG00000197217	ENTPD4
ENSG00000126261	UBA2
ENSG00000112992	NNT
ENSG00000156970	BUB1B
ENSG00000105186	ANKRD27
ENSG00000136982	DSCC1
ENSG00000134138	MEIS2
ENSG00000101544	ADNP2
ENSG00000189056	RELN
ENSG00000184500	PROS1
ENSG00000183044	ABAT
ENSG00000124571	XPO5
ENSG00000123213	NLN
ENSG00000254339	RP11-267L5.1
ENSG00000203867	RBM20
ENSG00000155980	KIF5A
